ProteinID(Uniprot) DiseaseID(Uniprot) DiseaseID(OMIM) DiseaseID(MeSH) 
AP2A_HUMAN DI-01294 OMIM:113620 MeSH:D019280 
AP2B_HUMAN DI-00294 OMIM:169100 MeSH:D004374 
AP2M1_HUMAN DI-05662 OMIM:618587 MeSH:D008607 
AP2S1_HUMAN DI-03662 OMIM:600740 MeSH:D006934 
AP3B1_HUMAN DI-00558 OMIM:608233 MeSH:D022861 
AP3B2_HUMAN DI-04937 OMIM:617276 MeSH:D013036 
AP3D1_HUMAN DI-04775 OMIM:617050 MeSH:D022861 
AP4B1_HUMAN DI-03145 OMIM:614066 MeSH:D002547 
AP4B1_HUMAN DI-03145 OMIM:614066 MeSH:D015419 
AP4E1_HUMAN DI-03061 OMIM:613744 MeSH:D002547 
AP4E1_HUMAN DI-04675 OMIM:184450 MeSH:D013342 
AP4E1_HUMAN DI-03061 OMIM:613744 MeSH:D015419 
AP4M1_HUMAN DI-02560 OMIM:612936 MeSH:D015419 
AP4S1_HUMAN DI-03146 OMIM:614067 MeSH:D002547 
AP4S1_HUMAN DI-03146 OMIM:614067 MeSH:D015419 
AP5Z1_HUMAN DI-02933 OMIM:613647 MeSH:D015419 
APC1_HUMAN DI-05679 OMIM:618625 MeSH:D011038 
APCD1_HUMAN DI-02718 OMIM:605389 MeSH:D007039 
APC_HUMAN DI-01711 OMIM:135290 MeSH:D000008 
APC_HUMAN DI-01708 OMIM:114550 MeSH:D006528 
APC_HUMAN DI-01547 OMIM:175100 MeSH:D011125 
APC_HUMAN DI-02971 OMIM:613659 MeSH:D013274 
APC_HUMAN DI-01711 OMIM:135290 MeSH:D018222 
APOA1_HUMAN DI-00104 OMIM:105200 MeSH:D028226 
APOA1_HUMAN DI-05627 OMIM:618463 MeSH:D052456 
APOA5_HUMAN DI-01586 OMIM:145750 MeSH:D006953 
APOB_HUMAN DI-01591 OMIM:144010 MeSH:D006938 
APOB_HUMAN DI-01587 OMIM:615558 MeSH:D006995 
APOC3_HUMAN DI-03115 OMIM:614028 MeSH:D006951 
APOE_HUMAN DI-02694 OMIM:104310 MeSH:D000544 
APOE_HUMAN DI-04956 OMIM:617347 MeSH:D003324 
APOE_HUMAN DI-01771 OMIM:617347 MeSH:D006952 
APOL1_HUMAN DI-02864 OMIM:612551 MeSH:D005923 
APRV1_HUMAN DI-05901 OMIM:146750 MeSH:D007057 
APTX_HUMAN DI-00138 OMIM:208920 MeSH:D001072 
APTX_HUMAN DI-00138 OMIM:208920 MeSH:D002524 
APT_HUMAN DI-01188 OMIM:614723 MeSH:D011686 
AQP2_HUMAN DI-00390 OMIM:125800 MeSH:D018500 
AQP5_HUMAN DI-03900 OMIM:600231 MeSH:D053546 
AR13B_HUMAN DI-00611 OMIM:612291 MeSH:D002526 
AR13B_HUMAN DI-00611 OMIM:612291 MeSH:D005124 
AR13B_HUMAN DI-00611 OMIM:612291 MeSH:D052177 
AR2BP_HUMAN DI-03887 OMIM:615434 MeSH:D012174 
AR2BP_HUMAN DI-03887 OMIM:615434 MeSH:D012857 
AR6P1_HUMAN DI-04045 OMIM:615685 MeSH:D015419 
ARC1B_HUMAN DI-05117 OMIM:617718 MeSH:D001791 
ARC1B_HUMAN DI-05117 OMIM:617718 MeSH:D004802 
ARF1_HUMAN DI-05385 OMIM:618185 MeSH:D054091 
ARGI1_HUMAN DI-00132 OMIM:207800 MeSH:D020162 
ARHG1_HUMAN DI-05587 OMIM:618459 MeSH:D007153 
ARHG2_HUMAN DI-05017 OMIM:617523 MeSH:D065886 
ARHG9_HUMAN DI-01088 OMIM:300607 MeSH:D013036 
ARHG9_HUMAN DI-01088 OMIM:300607 MeSH:D013216 
ARHGI_HUMAN DI-04985 OMIM:617433 MeSH:D012174 
ARH_HUMAN DI-01242 OMIM:603813 MeSH:D006937 
ARI1A_HUMAN DI-03453 OMIM:614607 MeSH:D000015 
ARI1A_HUMAN DI-03453 OMIM:614607 MeSH:D008607 
ARI1B_HUMAN DI-04692 OMIM:135900 MeSH:D000015 
ARI1B_HUMAN DI-04692 OMIM:135900 MeSH:D008607 
ARI5B_HUMAN DI-03076 OMIM:613065 MeSH:D054198 
ARID2_HUMAN DI-05158 OMIM:617808 MeSH:D000015 
ARID2_HUMAN DI-05158 OMIM:617808 MeSH:D008607 
ARL11_HUMAN DI-01350 OMIM:151400 MeSH:D015451 
ARL2_HUMAN DI-05960 OMIM:619082 MeSH:D058499 
ARL3_HUMAN DI-05361 OMIM:618161 MeSH:D002526 
ARL3_HUMAN DI-05361 OMIM:618161 MeSH:D005124 
ARL3_HUMAN DI-05372 OMIM:618173 MeSH:D012174 
ARL3_HUMAN DI-05361 OMIM:618161 MeSH:D052177 
ARL6_HUMAN DI-02896 OMIM:613575 MeSH:D012174 
ARL6_HUMAN DI-00161 OMIM:600151 MeSH:D020788 
ARLY_HUMAN DI-00133 OMIM:207900 MeSH:D000592 
ARMC2_HUMAN DI-05557 OMIM:618433 MeSH:D007248 
ARMC5_HUMAN DI-04195 OMIM:615954 MeSH:D003480 
ARMC9_HUMAN DI-05051 OMIM:617622 MeSH:D002526 
ARMC9_HUMAN DI-05051 OMIM:617622 MeSH:D005124 
ARMC9_HUMAN DI-05051 OMIM:617622 MeSH:D052177 
ARMS2_HUMAN DI-00061 OMIM:613778 MeSH:D008268 
ARNT2_HUMAN DI-04175 OMIM:615926 MeSH:D007018 
ARNT2_HUMAN DI-04175 OMIM:615926 MeSH:D008831 
ARRC_HUMAN DI-05150 OMIM:301010 MeSH:D009216 
ARRS_HUMAN DI-00374 OMIM:258100 MeSH:D009755 
ARRS_HUMAN DI-03034 OMIM:613758 MeSH:D012174 
ARSA_HUMAN DI-00652 OMIM:250100 MeSH:D007966 
